ID,Label,inSubset,Parent,animal name,model organism,pathogen_name,model for pathogen,disease name,model for disease,Definition,term editor,seeAlso
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C % SPLIT=|,,C 'model organism' some % SPLIT=|,,C 'animal model for pathogen' value % SPLIT=|,,C 'animal model for disease' value % SPLIT=|,A definition,A term editor SPLIT=|,A rdfs:seeAlso SPLIT=|
OLAS:0000398,Marburg Virus vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Marburg Virus,NCBITaxon:186537,,,Vaccine animal model that uses mouse for research of vaccine against Marburg Virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=28#Vaccine_Information
OLAS:0000399,Marburg virus vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Marburg virus,NCBITaxon:186537,,,Vaccine animal model that uses guinea pig for research of vaccine against Marburg virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=28#Vaccine_Information
OLAS:0000400,Marburg Virus vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Marburg Virus,NCBITaxon:186537,,,Vaccine animal model that uses monkey for research of vaccine against Marburg Virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=28#Vaccine_Information
OLAS:0000401,Marburg Virus vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,Marburg Virus,NCBITaxon:186537,,,Vaccine animal model that uses macaque for research of vaccine against Marburg Virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=28#Vaccine_Information
OLAS:0000402,Ebola virus vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Ebola virus,NCBITaxon:205488,,,Vaccine animal model that uses mouse for research of vaccine against Ebola virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=13#Vaccine_Information
OLAS:0000403,Ebola virus vaccine guinea pig animal model,vaccine animal model,vaccine animal model,guinea pig,NCBITaxon:10141,Ebola virus,NCBITaxon:205488,,,Vaccine animal model that uses guinea pig for research of vaccine against Ebola virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=13#Vaccine_Information
OLAS:0000404,Ebola virus vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,Ebola virus,NCBITaxon:205488,,,Vaccine animal model that uses monkey for research of vaccine against Ebola virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=13#Vaccine_Information
OLAS:0000405,Ebola virus vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,Ebola virus,NCBITaxon:205488,,,Vaccine animal model that uses macaque for research of vaccine against Ebola virus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=13#Vaccine_Information
OLAS:0000406,Avian Paramyxovirus vaccine chicken animal model,vaccine animal model,vaccine animal model,chicken,NCBITaxon:9031,Avian Paramyxovirus,NCBITaxon:260963,,,Vaccine animal model that uses chicken for research of vaccine against Avian Paramyxovirus.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=164#Vaccine_Information
OLAS:0000407,Yersinia enterocolitica vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,Yersinia enterocolitica,NCBITaxon:393305,,,Vaccine animal model that uses mouse for research of vaccine against Yersinia enterocolitica.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=130#Vaccine_Information
OLAS:0000408,Duck hepatitis virus 1 vaccine ducks animal model,vaccine animal model,vaccine animal model,ducks,NCBITaxon:8835,Duck hepatitis virus 1,NCBITaxon:691956,,,Vaccine animal model that uses ducks for research of vaccine against Duck hepatitis virus 1.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=190#Vaccine_Information
OLAS:0000409,SARS-CoV vaccine hamster animal model,vaccine animal model,vaccine animal model,hamster,NCBITaxon:10036,SARS-CoV,NCBITaxon:694009,,,Vaccine animal model that uses hamster for research of vaccine against SARS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=129#Vaccine_Information
OLAS:0000410,SARS-CoV vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,SARS-CoV,NCBITaxon:694009,,,Vaccine animal model that uses mouse for research of vaccine against SARS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=129#Vaccine_Information
OLAS:0000411,SARS-CoV vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,SARS-CoV,NCBITaxon:694009,,,Vaccine animal model that uses monkey for research of vaccine against SARS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=129#Vaccine_Information
OLAS:0000412,SARS-CoV vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,SARS-CoV,NCBITaxon:694009,,,Vaccine animal model that uses macaque for research of vaccine against SARS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=129#Vaccine_Information
OLAS:0000413,SARS-CoV vaccine ferret animal model,vaccine animal model,vaccine animal model,ferret,NCBITaxon:9669,SARS-CoV,NCBITaxon:694009,,,Vaccine animal model that uses ferret for research of vaccine against SARS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=129#Vaccine_Information
OLAS:0000414,SARS-CoV vaccine rabbit animal model,vaccine animal model,vaccine animal model,rabbit,NCBITaxon:9986,SARS-CoV,NCBITaxon:694009,,,Vaccine animal model that uses rabbit for research of vaccine against SARS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=129#Vaccine_Information
OLAS:0000415,MERS-CoV vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,MERS-CoV,NCBITaxon:1335626,,,Vaccine animal model that uses mouse for research of vaccine against MERS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=319#Vaccine_Information
OLAS:0000416,MERS-CoV vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,MERS-CoV,NCBITaxon:1335626,,,Vaccine animal model that uses macaque for research of vaccine against MERS-CoV.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=319#Vaccine_Information
OLAS:0000417,SARS-CoV-2 vaccine hamster animal model,vaccine animal model,vaccine animal model,hamster,NCBITaxon:10036,SARS-CoV-2,NCBITaxon:2697049,,,Vaccine animal model that uses hamster for research of vaccine against SARS-CoV-2.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=321#Vaccine_Information
OLAS:0000418,SARS-CoV-2 vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,SARS-CoV-2,NCBITaxon:2697049,,,Vaccine animal model that uses mouse for research of vaccine against SARS-CoV-2.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=321#Vaccine_Information
OLAS:0000419,SARS-CoV-2 vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,SARS-CoV-2,NCBITaxon:2697049,,,Vaccine animal model that uses rat for research of vaccine against SARS-CoV-2.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=321#Vaccine_Information
OLAS:0000420,SARS-CoV-2 vaccine monkey animal model,vaccine animal model,vaccine animal model,monkey,NCBITaxon:9479,SARS-CoV-2,NCBITaxon:2697049,,,Vaccine animal model that uses monkey for research of vaccine against SARS-CoV-2.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=321#Vaccine_Information
OLAS:0000421,SARS-CoV-2 vaccine macaque animal model,vaccine animal model,vaccine animal model,macaque,NCBITaxon:9541,SARS-CoV-2,NCBITaxon:2697049,,,Vaccine animal model that uses macaque for research of vaccine against SARS-CoV-2.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=321#Vaccine_Information
OLAS:0000422,allergy vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,,,allergy,OBI:1110049,Vaccine animal model that uses mouse for research of vaccine against allergy.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=114#Vaccine_Information
OLAS:0000423,arthritis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,,,arthritis,DOID:848,Vaccine animal model that uses mouse for research of vaccine against arthritis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=238#Vaccine_Information
OLAS:0000424,arthritis vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,,,arthritis,DOID:848,Vaccine animal model that uses rat for research of vaccine against arthritis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=238#Vaccine_Information
OLAS:0000425,atherosclerosis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,,,atherosclerosis,DOID:1936,Vaccine animal model that uses mouse for research of vaccine against atherosclerosis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=215#Vaccine_Information
OLAS:0000426,cancer vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,,,cancer,DOID:162,Vaccine animal model that uses mouse for research of vaccine against cancer.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=99#Vaccine_Information
OLAS:0000427,cancer vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,,,cancer,DOID:162,Vaccine animal model that uses rat for research of vaccine against cancer.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=99#Vaccine_Information
OLAS:0000428,cancer vaccine dog animal model,vaccine animal model,vaccine animal model,dog,NCBITaxon:9615,,,cancer,DOID:162,Vaccine animal model that uses dog for research of vaccine against cancer.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=99#Vaccine_Information
OLAS:0000429,diabetes vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,,,diabetes,DOID:9351,Vaccine animal model that uses mouse for research of vaccine against diabetes.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=237#Vaccine_Information
OLAS:0000430,encephalomyelitis vaccine rat animal model,vaccine animal model,vaccine animal model,rat,NCBITaxon:10114,,,encephalomyelitis,DOID:640,Vaccine animal model that uses rat for research of vaccine against encephalomyelitis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=235#Vaccine_Information
OLAS:0000431,autoimmune uveitis vaccine mouse animal model,vaccine animal model,vaccine animal model,mouse,NCBITaxon:10090,,,autoimmune uveitis,DOID:0040088,Vaccine animal model that uses mouse for research of vaccine against autoimmune uveitis.,Oliver He|Jie Zheng|Leo Yeh,https://violinet.org/vaxquery/query_detail.php?c_pathogen_id=236#Vaccine_Information
OLAS:0000432,hamster animal model,,laboratory animal model,hamster,NCBITaxon:10036,,,,,,,
OLAS:0000433,mouse animal model,,laboratory animal model,mouse,NCBITaxon:10090,,,,,,,
OLAS:0000434,rat animal model,,laboratory animal model,rat,NCBITaxon:10114,,,,,,,
OLAS:0000435,guinea pig animal model,,laboratory animal model,guinea pig,NCBITaxon:10141,,,,,,,
OLAS:0000436,fish animal model,,laboratory animal model,fish,NCBITaxon:117565,,,,,,,
OLAS:0000437,catfishes animal model,,laboratory animal model,catfishes,NCBITaxon:7995,,,,,,,
OLAS:0000438,rainbow trout animal model,,laboratory animal model,rainbow trout,NCBITaxon:8022,,,,,,,
OLAS:0000439,ducks animal model,,laboratory animal model,ducks,NCBITaxon:8835,,,,,,,
OLAS:0000440,chicken animal model,,laboratory animal model,chicken,NCBITaxon:9031,,,,,,,
OLAS:0000441,turkey animal model,,laboratory animal model,turkey,NCBITaxon:9103,,,,,,,
OLAS:0000442,parrot animal model,,laboratory animal model,parrot,NCBITaxon:9224,,,,,,,
OLAS:0000443,monkey animal model,,laboratory animal model,monkey,NCBITaxon:9479,,,,,,,
OLAS:0000444,macaque animal model,,laboratory animal model,macaque,NCBITaxon:9541,,,,,,,
OLAS:0000445,chimpanzee animal model,,laboratory animal model,chimpanzee,NCBITaxon:9598,,,,,,,
OLAS:0000446,dog animal model,,laboratory animal model,dog,NCBITaxon:9615,,,,,,,
OLAS:0000447,ferret animal model,,laboratory animal model,ferret,NCBITaxon:9669,,,,,,,
OLAS:0000448,cat animal model,,laboratory animal model,cat,NCBITaxon:9685,,,,,,,
OLAS:0000449,horse animal model,,laboratory animal model,horse,NCBITaxon:9796,,,,,,,
OLAS:0000450,pig animal model,,laboratory animal model,pig,NCBITaxon:9823,,,,,,,
OLAS:0000451,cattle animal model,,laboratory animal model,cattle,NCBITaxon:9913,,,,,,,
OLAS:0000452,goat animal model,,laboratory animal model,goat,NCBITaxon:9925,,,,,,,
OLAS:0000453,sheep animal model,,laboratory animal model,sheep,NCBITaxon:9940,,,,,,,
OLAS:0000454,rabbit animal model,,laboratory animal model,rabbit,NCBITaxon:9986,,,,,,,
